ID,Name,Address,Suburb,State,ZIP Code,Country,Full address,latitude,longitude
ID029,Airport West,29-35 LOUIS STREET,AIRPORT WEST,VICTORIA,3042,Australia,"29-35 LOUIS STREET, AIRPORT WEST VIC 3042",-37.713985,144.885268
ID001,Belconnen,BENJAMIN WAY,BELCONNEN,AUSTRALIAN CAPITAL TERRITORY,2617,Australia,"BENJAMIN WAY, BELCONNEN ACT 2617",-35.238416,149.065957
ID003,Bondi Junction,500 OXFORD STREET,BONDI JUNCTION,NEW SOUTH WALES,2022,Australia,"500 OXFORD STREET, BONDI JUNCTION NSW 2022",-33.891289,151.250815
ID036,Booragoon,125 RISELEY STREET,BOORAGOON,WESTERN AUSTRALIA,6154,Australia,"125 RISELEY STREET, BOORAGOON WA 6154",-32.03408,115.83547
ID004,Burwood,100 BURWOOD ROAD,BURWOOD,NEW SOUTH WALES,2134,Australia,"100 BURWOOD ROAD, BURWOOD NSW 2134",-33.874545,151.105889
ID020,Carindale,1151 CREEK ROAD,CARINDALE,QUEENSLAND,4152,Australia,"1151 CREEK ROAD, CARINDALE QLD 4152",-27.502771,153.101615
ID037,Carousel,1382 ALBANY HWY,CANNINGTON,WESTERN AUSTRALIA,6107,Australia,"1382 ALBANY HWY, CANNINGTON WA 6107",-32.019151,115.937879
ID005,Chatswood,1 ANDERSON STREET,CHATSWOOD,NEW SOUTH WALES,2067,Australia,"1 ANDERSON STREET, CHATSWOOD NSW 2067",-33.79720419,151.1831568
ID021,Chermside,GYMPIE ROAD & HAMILTON ROAD,CHERMSIDE,QUEENSLAND,4032,Australia,"GYMPIE ROAD & HAMILTON ROAD, CHERMSIDE QLD 4032",-27.384408,153.032145
ID050,Coomera,FOXWELL ROAD,COOMERA,QUEENSLAND,4209,Australia,"FOXWELL ROAD, COOMERA QLD 4209",-27.855015,153.318686
ID030,Doncaster,DONCASTER ROAD,VICTORIA,VICTORIA,3108,Australia,"DONCASTER ROAD, VICTORIA 3108",-37.785423,145.12562
ID049,Eastgardens,152 BUNNERONG ROAD ,EASTGARDENS,NEW SOUTH WALES,2036,Australia,152 BUNNERONG ROAD EASTGARDENS NSW 2036,-33.944814,151.224327
ID031,Fountain Gate,352 PRINCES HIGHWAY,FOUNTAIN GATE,VICTORIA,3805,Australia,"352 PRINCES HIGHWAY, FOUNTAIN GATE VIC 3805",-38.017093,145.303739
ID022,Garden City,CNR LOGAN & KESSELS ROAD,UPPER MOUNT GRAVATT,QUEENSLAND,4122,Australia,"CNR LOGAN & KESSELS ROAD, UPPER MOUNT GRAVATT QLD 4122",-27.56272472,153.0828735
ID032,Geelong,95 MALOP STREET,GEELONG,VICTORIA,3220,Australia,"95 MALOP STREET, GEELONG VIC 3220",-38.14656,144.362506
ID023,Helensvale,1-29 MILLAROO DRIVE,HELENSVALE,QUEENSLAND,4212,Australia,"1-29 MILLAROO DRIVE, HELENSVALE QLD 4212",-27.925977,153.336062
ID007,Hornsby,236 PACIFIC HIGHWAY,HORNSBY,NEW SOUTH WALES,2077,Australia,"236 PACIFIC HIGHWAY, HORNSBY NSW 2077",-33.704013,151.10064
ID008,Hurstville,CNR CROSS ST AND PARK RD ,HURSTVILLE ,NEW SOUTH WALES,2220,Australia,CNR CROSS ST AND PARK RD HURSTVILLE NSW 2220,-33.966258,151.105253
